positionName,positionType,workLocation,salary,experienceRequirements,educationRequirements
研发工程师,golang,海珠区,15000-20000,3-5年,本科
Go 后端开发工程师,golang,天河区,13000-25000,3-5年,大专
高级服务端开发,golang,天河区,25000-35000,3-5年,本科
服务端开发工程师（base珠海）,golang,天河区,20000-30000,3-5年,本科
向量检索算法工程师,golang,广州,15000-25000,3-5年,本科
golang开发工程师,golang,天河区,15000-25000,3-5年,本科
go后端开发工程师,golang,黄埔区,11000-20000,3-5年,本科
Golang后台开发工程师,golang,天河区,15000-25000,3-5年,本科
go高级开发,golang,广州,28000-40000,3-5年,本科
golang,golang,广州,20000-30000,3-5年,本科
高级后端开发工程师--飞书人事,golang,海珠区,30000-50000,3-5年,本科
高级Golang开发工程师（容器产品）,golang,海珠区,15000-30000,3-5年,本科
后端开发工程师,golang,天河区,8000-13000,3-5年,本科
golang后端开发,golang,越秀区,10000-15000,3-5年,大专
后台开发,golang,天河区,15000-30000,3-5年,本科
后端工程师-AI项目出海赛道,golang,海珠区,16000-30000,3-5年,本科
go后端开发工程师（广告BI系统向）,golang,天河区,15000-25000,3-5年,本科
golang开发工程师,golang,海珠区,20000-28000,3-5年,本科
后端开发工程师,golang,黄埔区,9000-14000,3-5年,本科
Go 开发工程师,golang,海珠区,10000-15000,3-5年,本科
